f0,f1,f2,e0,e1,e2,e3,e4,e5
0.027771,-0.0373535,0.0324707,-1.14328e-05,9.56468e-05,-0.000126642,0.000109766,0.000203849,-0.00010217
-0.00793457,-0.0456543,0,-1.37976e-05,9.59788e-05,-0.000128291,0.000106732,0.000206243,-0.000101236
-0.0991821,-0.0290527,0.0568237,-1.40588e-05,9.2432e-05,-0.000127868,0.000103242,0.000206521,-0.000100933
-0.174561,-0.0539551,0.0649414,-1.78078e-05,9.88832e-05,-0.000135585,0.000107621,0.000212353,-9.73303e-05
-0.142822,0.0124512,0.0162354,-1.80654e-05,9.65452e-05,-0.000137188,0.000103527,0.000214206,-9.73175e-05
0.0436401,-0.020752,-0.0162354,-1.9091e-05,8.92381e-05,-0.000141927,0.000104452,0.000220497,-0.000105674
0.253906,0.0664063,-0.024353,-2.02431e-05,9.39413e-05,-0.000149951,0.000109987,0.000228216,-0.000106622
0.40863,0.0539551,-0.0974121,-2.17668e-05,9.62059e-05,-0.000150934,0.000106238,0.000231388,-0.000103546
0.388794,0.145264,-0.129883,-2.23886e-05,9.50874e-05,-0.000157368,0.000109952,0.000237534,-0.000109689
0.285645,0.0830078,-0.0974121,-2.09917e-05,9.71036e-05,-0.000159094,0.000115632,0.000238372,-0.000109659
0.0753784,0.020752,-0.0730591,-1.92074e-05,9.71903e-05,-0.000162521,0.000118426,0.000239755,-0.000109745
-0.0674438,-0.0166016,-0.0405884,-1.58993e-05,9.226e-05,-0.000162952,0.000120729,0.000238403,-0.000120681
-0.19043,-0.0373535,-0.0324707,-1.61344e-05,9.96794e-05,-0.000162828,0.000125574,0.000237932,-0.000115995
-0.261841,-0.074707,-0.0324707,-1.19802e-05,9.68643e-05,-0.000164324,0.000129214,0.000236719,-0.000122901
-0.27771,-0.219971,-0.0568237,-1.12941e-05,9.73559e-05,-0.000166614,0.000128861,0.000237963,-0.000119674
-0.27771,-0.282227,-0.129883,-7.48515e-06,9.49415e-05,-0.000164563,0.000129227,0.000236835,-0.000126562
-0.182495,-0.419189,0.0162354,-4.31453e-06,9.44437e-05,-0.000163518,0.000131844,0.00023434,-0.000131648
-0.0714111,-0.452393,0.00811768,-4.22964e-06,9.1939e-05,-0.000162731,0.000128155,0.00023868,-0.000133252
0.0674438,-0.468994,0.00811768,-3.189e-06,9.29347e-05,-0.000162673,0.00012623,0.000239893,-0.000133046
0.178528,-0.415039,0.0324707,-9.83849e-07,9.05699e-05,-0.000160873,0.000123482,0.000239496,-0.000136223
0.269775,-0.394287,0,-1.00589e-07,9.49283e-05,-0.000164936,0.00012996,0.00024394,-0.000138711
0.297546,-0.373535,0.0405884,2.75422e-06,8.94401e-05,-0.000164006,0.000123907,0.000244835,-0.000139604
0.297546,-0.249023,-0.00811768,5.53129e-06,8.79878e-05,-0.000162682,0.000120393,0.000244116,-0.000142382
