j0,j1,j2,j3,j4,j5,j6
0.990473,0.476724,0.261608,-2.37553,-0.377583,2.78779,0.814897
0.990477,0.476722,0.261609,-2.37554,-0.377587,2.78779,0.814902
0.990478,0.47672,0.261611,-2.37554,-0.377586,2.78779,0.8149
0.990478,0.476722,0.261606,-2.37554,-0.377586,2.78779,0.814901
0.99047,0.476724,0.261611,-2.37553,-0.377585,2.78779,0.814898
0.990478,0.476723,0.261614,-2.37553,-0.377588,2.78779,0.814897
0.990483,0.476725,0.26161,-2.37554,-0.377586,2.78779,0.814897
0.990478,0.476719,0.261609,-2.37553,-0.377587,2.78779,0.814902
0.990481,0.476716,0.261606,-2.37554,-0.377588,2.78779,0.814897
0.990476,0.476723,0.261609,-2.37553,-0.377586,2.78779,0.814901
0.990481,0.47672,0.261611,-2.37554,-0.377586,2.78779,0.814898
0.99048,0.476724,0.261609,-2.37554,-0.377587,2.78779,0.814893
0.990475,0.476724,0.261606,-2.37554,-0.377586,2.78779,0.814893
0.990478,0.476721,0.261616,-2.37554,-0.377586,2.78779,0.814898
0.990477,0.476726,0.261607,-2.37554,-0.377587,2.78779,0.814902
0.990476,0.476724,0.261609,-2.37553,-0.377586,2.78779,0.8149
0.99048,0.476717,0.261609,-2.37554,-0.377586,2.78779,0.8149
0.990481,0.476724,0.261606,-2.37554,-0.377584,2.78779,0.814897
0.990476,0.476725,0.261611,-2.37554,-0.377586,2.78779,0.814898
0.990472,0.476727,0.261609,-2.37554,-0.377586,2.78779,0.814897
0.990478,0.476724,0.261614,-2.37554,-0.377582,2.78779,0.814897
0.990478,0.476722,0.261606,-2.37554,-0.377587,2.78779,0.814897
0.990476,0.476719,0.261606,-2.37554,-0.377586,2.78779,0.814896
0.990475,0.476719,0.261608,-2.37553,-0.377586,2.78779,0.814898
0.990472,0.476721,0.261607,-2.37554,-0.377584,2.78779,0.814899
0.990475,0.476719,0.261609,-2.37554,-0.377586,2.78779,0.814896
0.990478,0.476719,0.261608,-2.37554,-0.377586,2.78779,0.8149
0.990483,0.476716,0.261609,-2.37553,-0.377586,2.78779,0.814901
0.990483,0.476719,0.261609,-2.37554,-0.377587,2.78779,0.8149
0.990479,0.476719,0.261611,-2.37554,-0.377587,2.78779,0.814899
0.990473,0.476719,0.261609,-2.37553,-0.377587,2.78779,0.814896
0.990477,0.476716,0.261612,-2.37554,-0.377588,2.78779,0.814898
0.990478,0.47672,0.261611,-2.37554,-0.377586,2.78779,0.814898
0.99047,0.476722,0.26161,-2.37554,-0.377586,2.78779,0.814898
0.99047,0.476719,0.261611,-2.37553,-0.377586,2.78779,0.814895
0.990472,0.476726,0.26161,-2.37554,-0.377586,2.78779,0.814899
0.990478,0.476722,0.261606,-2.37554,-0.377583,2.78779,0.814902
0.990475,0.476724,0.261612,-2.37554,-0.377581,2.78779,0.814902
0.990478,0.47672,0.261608,-2.37554,-0.377582,2.78779,0.814896
