j0,j1,j2,j3,j4,j5,j6
-1.55514,1.24753,1.25395,-2.34561,-1.56806,2.02257,1.56253
-1.55514,1.24753,1.25395,-2.34562,-1.56806,2.02257,1.56253
-1.55514,1.24753,1.25395,-2.34561,-1.56806,2.02257,1.56252
-1.55514,1.24753,1.25396,-2.34561,-1.56806,2.02257,1.56252
-1.55514,1.24753,1.25396,-2.34561,-1.56806,2.02257,1.56253
-1.55513,1.24753,1.25396,-2.34561,-1.56806,2.02257,1.56252
-1.55514,1.24752,1.25396,-2.34561,-1.56806,2.02257,1.56253
-1.55514,1.24752,1.25395,-2.34561,-1.56806,2.02257,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56807,2.02257,1.56253
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24751,1.25395,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25396,-2.34561,-1.56806,2.02257,1.56253
-1.55513,1.24751,1.25396,-2.34561,-1.56806,2.02257,1.56252
-1.55513,1.24751,1.25395,-2.34561,-1.56806,2.02257,1.56253
-1.55514,1.24751,1.25396,-2.34561,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25396,-2.34561,-1.56806,2.02257,1.56253
-1.55514,1.24752,1.25396,-2.34561,-1.56807,2.02257,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56807,2.02257,1.56253
-1.55513,1.24751,1.25395,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24752,1.25396,-2.34561,-1.56806,2.02257,1.56252
-1.55513,1.24752,1.25395,-2.34562,-1.56807,2.02257,1.56253
-1.55513,1.24752,1.25395,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25395,-2.34562,-1.56806,2.02256,1.56253
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02256,1.56253
-1.55513,1.24752,1.25396,-2.34561,-1.56806,2.02256,1.56253
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25395,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24751,1.25396,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02256,1.56253
-1.55513,1.24751,1.25396,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02256,1.56253
-1.55513,1.24751,1.25396,-2.34562,-1.56806,2.02256,1.56253
-1.55512,1.24752,1.25396,-2.34562,-1.56806,2.02256,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25395,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24751,1.25396,-2.34562,-1.56806,2.02256,1.56253
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02256,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02256,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24753,1.25396,-2.34562,-1.56806,2.02256,1.56252
-1.55512,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24753,1.25396,-2.34562,-1.56807,2.02256,1.56253
-1.55512,1.24752,1.25396,-2.34562,-1.56806,2.02256,1.56252
-1.55512,1.24752,1.25396,-2.34562,-1.56806,2.02256,1.56252
-1.55512,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56252
-1.55513,1.24752,1.25396,-2.34562,-1.56806,2.02257,1.56253
-1.55512,1.24753,1.25396,-2.34562,-1.56806,2.02257,1.56253
-1.55513,1.24752,1.25396,-2.34561,-1.56806,2.02256,1.56252
-1.55513,1.24753,1.25396,-2.34561,-1.56806,2.02256,1.56253
-1.55513,1.24753,1.25396,-2.34561,-1.56806,2.02256,1.56253
