test,filtered
-0.595383,0.87885
-0.410717,0.900826
-1.16649,0.907618
-1.27533,0.913668
-0.047678,0.930139
-1.13403,0.937965
-0.694185,0.946478
-0.743926,0.960069
0.678389,0.974651
-0.477646,0.991547
-0.627273,1.01027
-0.17338,1.02456
0.755837,1.03668
0.189563,1.05376
0.403686,1.07339
-0.0970676,1.09348
-1.00077,1.11057
-0.919968,1.12919
0.180053,1.14019
-0.971798,1.15007
-0.230467,1.17148
0.188784,1.19059
-0.000541297,1.20476
-0.702587,1.22263
-0.315991,1.24087
-0.101718,1.25488
1.11837,1.27556
0.623119,1.29449
1.15335,1.30285
0.331728,1.32255
0.284769,1.33801
0.299732,1.35424
0.206303,1.37025
0.612757,1.38823
-0.0425097,1.39601
0.495557,1.41289
1.04153,1.42715
-0.0359712,1.4467
-0.0295339,1.46371
1.03364,1.47817
1.33941,1.48701
0.914897,1.5002
1.33879,1.51537
-0.188058,1.53121
1.22553,1.54541
1.60897,1.5546
1.00302,1.56608
1.17137,1.57987
1.67759,1.58878
0.933541,1.60752
0.404205,1.62624
1.67143,1.64208
0.742265,1.66181
0.911815,1.67201
0.276445,1.68793
0.535587,1.70044
0.245982,1.71241
0.872658,1.72133
0.881239,1.73445
1.91416,1.7464
0.823843,1.75709
0.823298,1.77565
1.34562,1.78797
1.19782,1.79827
1.83694,1.81169
0.527223,1.82615
1.72882,1.83739
0.403772,1.84802
1.13575,1.86663
2.07256,1.88365
1.66939,1.90141
2.29928,1.92145
1.74155,1.9399
1.95482,1.95681
0.759528,1.96707
1.11946,1.98322
1.38079,1.99909
1.08432,2.0126
1.05703,2.03039
1.39447,2.04015
2.37144,2.05208
1.34881,2.07163
2.61694,2.08522
2.06262,2.10119
2.78269,2.11676
2.80661,2.12732
1.15706,2.1412
1.93392,2.15128
2.01983,2.169
2.92737,2.18476
2.88577,2.1997
2.02906,2.21948
2.52564,2.23467
1.34239,2.25432
1.64723,2.26959
2.04517,2.28587
2.12924,2.30479
2.5767,2.31908
2.62425,2.33499
2.41295,2.3533
3.09845,2.37218
1.59357,2.40556
1.53077,2.43141
2.62663,2.46232
1.75188,2.49997
1.84035,2.52309
2.40069,2.55956
2.53498,2.59167
2.8163,2.62182
3.05089,2.64397
2.5967,2.6748
2.38166,2.70599
2.96692,2.73264
3.29206,2.76031
3.38374,2.79236
3.07545,2.82267
3.28904,2.84838
2.42692,2.88374
2.31624,2.91687
3.71969,2.94143
3.4837,2.97831
2.91924,3.00966
3.40267,3.03449
3.48378,3.06384
2.99285,3.09771
3.85984,3.13095
3.68054,3.16615
2.36479,3.19532
3.8434,3.22549
3.33199,3.24713
3.46446,3.2769
3.46829,3.31068
3.76132,3.33862
2.43061,3.36339
3.67418,3.38882
3.35324,3.41564
4.10545,3.43928
3.79305,3.46284
3.47409,3.49626
2.71635,3.53095
3.346,3.55978
3.65417,3.58855
3.78065,3.61085
3.57672,3.63363
2.87771,3.66446
3.23001,3.68927
3.59456,3.71221
2.89824,3.73844
4.38043,3.76529
4.41635,3.79015
4.01811,3.81331
4.64082,3.84355
3.22266,3.87153
4.12227,3.90019
3.62771,3.92938
3.5672,3.95944
3.113,3.99417
3.79399,4.02183
3.63527,4.05217
3.45676,4.08184
4.74456,4.1052
3.772,4.1333
3.46785,4.16168
3.99854,4.18639
4.19725,4.20958
3.69195,4.23512
3.61292,4.26802
4.97499,4.29684
4.74259,4.32566
4.90232,4.35796
5.32797,4.3814
5.09523,4.41186
4.86481,4.43161
3.74234,4.45283
4.79358,4.47364
4.77682,4.50182
4.39011,4.53407
5.18,4.56516
3.7772,4.59267
4.18783,4.61802
5.59029,4.64831
4.54366,4.66845
5.00827,4.69387
4.96651,4.71298
4.07053,4.73994
4.70923,4.7573
4.02513,4.77639
5.48238,4.80968
5.14824,4.83639
5.02255,4.86026
5.97904,4.88648
5.13524,4.91043
6.02818,4.93446
5.21561,4.95903
5.44448,4.98497
5.99389,5.0161
5.12075,5.04335
5.46873,5.07153
5.97884,5.09137
6.12845,5.11252
6.08073,5.13373
4.75962,5.15539
5.01659,5.18636
6.25482,5.22074
4.57437,5.24177
6.16142,5.26647
5.72742,5.29705
5.28509,5.32
5.10918,5.34296
5.68873,5.36792
5.61119,5.39493
5.15541,5.42138
6.28982,5.44877
6.59969,5.47106
6.4655,5.49437
5.04544,5.51424
6.07048,5.5374
5.70601,5.56373
5.09252,5.58485
6.40392,5.6074
6.04038,5.6244
5.15491,5.6415
5.86846,5.66236
6.07205,5.68201
6.33219,5.70304
6.93804,5.72951
6.95262,5.75014
6.65738,5.77465
5.48169,5.80198
6.28408,5.81882
7.04076,5.84106
5.8896,5.85946
5.1586,5.88463
5.69851,5.90135
5.32338,5.92554
5.22243,5.94217
5.75439,5.96504
6.64734,5.97984
6.9087,6.00004
6.7997,6.0249
7.09416,6.05263
5.37373,6.07784
5.89475,6.09745
5.97901,6.11637
6.18575,6.14221
6.19834,6.16849
6.24878,6.19342
6.54061,6.21872
6.65069,6.24418
5.56526,6.2659
6.45166,6.28241
7.26782,6.30554
6.47419,6.31967
6.75044,6.34503
6.28709,6.36416
7.48159,6.38735
5.77779,6.41084
6.94166,6.44071
6.81536,6.46618
6.5857,6.49194
6.44407,6.51403
6.4997,6.52876
6.28707,6.55451
5.83639,6.57872
6.94353,6.5988
7.10758,6.61513
7.49319,6.64105
6.16794,6.66821
7.59605,6.68651
6.76132,6.70397
7.76124,6.71887
6.24822,6.73693
5.9852,6.75522
6.11788,6.77462
6.3958,6.80125
7.56794,6.82305
7.60035,6.8392
6.58571,6.85835
6.12701,6.87867
7.45218,6.90639
6.39907,6.9263
6.43301,6.93738
6.4396,6.95243
7.45406,6.96428
6.25462,6.98226
6.62565,7.00496
7.81447,7.02759
7.27617,7.05397
6.79311,7.07332
8.1707,7.09278
7.67685,7.11445
6.8355,7.126
7.43994,7.13987
6.52958,7.15115
7.87225,7.16534
7.49707,7.18455
7.76504,7.19421
6.5433,7.21156
6.855,7.22965
6.65457,7.24454
7.43077,7.25178
7.78729,7.26418
8.40612,7.27904
6.83442,7.29291
6.69071,7.30064
7.95738,7.31869
6.99004,7.32731
7.12753,7.34501
7.80735,7.36606
8.45291,7.3822
7.88619,7.39698
7.86105,7.41459
7.42426,7.43614
7.95434,7.45246
7.35818,7.46066
7.7073,7.47603
8.5548,7.49157
6.64989,7.50729
6.82691,7.52262
7.11911,7.53776
6.90504,7.5502
7.09107,7.5635
7.33281,7.57955
7.68929,7.59131
8.28684,7.60226
7.98546,7.61853
8.5827,7.63181
7.83174,7.64261
7.20966,7.65751
7.78042,7.67244
7.14555,7.68802
8.50147,7.69629
7.10635,7.70897
7.26829,7.72673
7.00024,7.74521
7.92683,7.7675
7.06439,7.78683
7.83349,7.80106
8.44612,7.80972
8.26309,7.81883
8.38736,7.82686
7.5771,7.83956
7.56382,7.85449
8.7439,7.86483
8.13555,7.87706
8.215,7.88994
8.6546,7.90605
7.98944,7.91531
8.72624,7.92556
7.71769,7.93777
8.64287,7.95905
7.46881,7.97532
8.29321,7.98457
7.94803,7.99896
8.26669,8.00949
8.26574,8.01988
9.08563,8.02983
8.88883,8.04845
8.78786,8.06284
7.87295,8.07263
7.69162,8.08925
8.92225,8.09932
8.30941,8.11683
8.01423,8.13069
7.46279,8.14837
8.87654,8.16216
9.04493,8.17677
8.63449,8.18497
8.23485,8.20451
7.88329,8.20807
8.93902,8.21722
8.75325,8.22894
8.74523,8.23909
9.06922,8.2511
9.15357,8.27158
8.00544,8.28946
8.22163,8.29681
9.24351,8.30537
9.32004,8.31608
8.17048,8.33438
7.80618,8.34377
7.55391,8.35669
7.37809,8.37192
8.56174,8.38889
8.61061,8.39861
9.23665,8.41313
9.30033,8.42656
9.35243,8.43012
9.04053,8.44199
9.35538,8.45304
8.2904,8.45592
7.90816,8.46236
8.28448,8.47692
8.05305,8.48892
9.28775,8.50124
7.92499,8.5052
8.59047,8.5133
9.08757,8.51725
8.95689,8.52904
7.57567,8.54299
8.56189,8.56033
7.73183,8.57579
7.79079,8.58176
7.80085,8.58446
8.18351,8.60114
7.88614,8.61772
9.26667,8.62555
9.49497,8.63567
8.33801,8.64355
8.64505,8.65133
9.13184,8.65558
9.46495,8.66205
9.55539,8.6708
8.23936,8.68453
9.53983,8.68904
8.15179,8.702
9.21568,8.71254
8.77082,8.71546
8.12164,8.735
8.89099,8.75139
8.70157,8.76657
8.36538,8.77667
8.21962,8.79006
8.26179,8.8047
9.586,8.82021
9.59426,8.82615
9.11207,8.83101
9.63754,8.84281
8.46822,8.85517
9.39979,8.86734
8.69449,8.87659
8.42517,8.88938
8.71191,8.90093
9.39372,8.91567
9.78094,8.92834
9.08903,8.94724
8.60052,8.95745
8.37938,8.96859
8.73022,8.98388
8.40648,8.98964
9.63368,9.00018
8.36046,9.00431
7.96138,9.01547
8.42613,9.02672
8.7607,9.03416
9.4222,9.04264
8.09984,9.05281
8.59122,9.06504
9.09281,9.07457
9.81975,9.0873
9.70549,9.10054
9.11966,9.10981
9.3519,9.1261
8.85481,9.1371
8.36525,9.14795
9.47154,9.15511
9.50169,9.16687
9.82106,9.17446
8.77331,9.17782
9.90874,9.18313
8.45956,9.19473
10.0006,9.20508
9.05932,9.2137
9.37328,9.2265
9.69965,9.23517
10.0304,9.2474
9.13361,9.25455
10.0751,9.26468
8.30792,9.27636
8.59282,9.28974
10.105,9.3025
8.27716,9.31038
8.38739,9.32283
10.2137,9.33053
9.97328,9.34216
9.03665,9.34887
9.31257,9.36696
8.72865,9.38403
9.78623,9.38714
9.33017,9.39539
8.98288,9.41122
9.47907,9.42991
9.83467,9.44778
9.39637,9.46316
9.15977,9.47913
9.31136,9.49323
8.52721,9.50378
9.64923,9.50956
9.0023,9.51934
8.74693,9.52787
8.96501,9.53543
9.74716,9.54847
9.84074,9.56434
8.99428,9.57887
8.66255,9.59032
9.11758,9.59537
8.55524,9.60871
8.90104,9.61955
9.6446,9.63059
10.1229,9.64684
10.5227,9.66194
8.98147,9.67445
8.94627,9.69137
10.1714,9.70469
10.0065,9.71974
9.52336,9.73314
9.01326,9.74826
8.70326,9.76358
9.36415,9.7748
9.30325,9.792
9.18043,9.80206
9.61119,9.8132
10.1693,9.82229
8.8555,9.82912
9.95208,9.84828
9.81338,9.86124
9.13999,9.87822
10.5583,9.88888
10.1045,9.90045
10.1543,9.91738
8.92542,9.93191
9.76989,9.94696
10.2605,9.96169
10.7912,9.98367
9.47464,10.0004
8.95818,10.0158
10.941,10.0221
10.3039,10.0352
9.64531,10.0414
9.62912,10.0632
9.70376,10.0749
10.8114,10.0903
10.0537,10.1035
9.80241,10.1232
10.7819,10.133
9.9676,10.1438
9.29228,10.1549
10.8925,10.1764
9.59805,10.1903
10.3709,10.2059
9.21275,10.2285
9.80975,10.245
9.81271,10.2629
10.2336,10.2827
9.83031,10.2982
10.25,10.3147
11.0994,10.326
9.89689,10.3508
11.2716,10.3723
10.3658,10.3834
10.4966,10.3912
10.7268,10.4065
10.4931,10.4264
10.1179,10.4458
9.69844,10.4662
10.6188,10.4824
10.6041,10.4956
9.5607,10.5073
9.84846,10.5157
10.1932,10.5371
9.7612,10.5523
10.6468,10.571
10.8688,10.5863
9.74887,10.6027
9.90793,10.6189
10.3068,10.635
11.0717,10.6471
10.9705,10.6642
10.91,10.6746
10.4363,10.6921
10.5146,10.7171
11.2429,10.7301
10.2849,10.7549
11.3956,10.7768
10.4961,10.7861
11.6229,10.7969
11.6363,10.8195
9.86613,10.8392
10.9684,10.8581
11.3382,10.8723
11.5432,10.886
11.1281,10.9063
10.4536,10.9219
11.7561,10.9415
11.4314,10.9556
11.3465,10.9716
10.4547,10.9932
11.3096,11.0164
10.7471,11.0359
10.8675,11.0529
10.8984,11.0745
11.0822,11.0968
11.1902,11.1187
10.3416,11.1357
10.2991,11.1618
10.5932,11.1878
10.7578,11.2105
11.2952,11.232
12.2066,11.2563
10.5966,11.2739
11.0647,11.2864
11.1142,11.2977
10.4565,11.322
10.8098,11.3448
10.8633,11.3616
10.9096,11.3796
12.3308,11.3995
11.739,11.4243
11.7793,11.4526
10.6569,11.4711
11.3588,11.4911
11.283,11.5107
10.9211,11.5326
12.0724,11.5547
12.1314,11.5834
11.5484,11.5995
11.347,11.6213
11.0844,11.6458
11.5092,11.6639
11.7963,11.6829
11.7117,11.7039
11.3122,11.7239
12.6137,11.7469
11.6074,11.7642
12.6688,11.7815
10.8598,11.8016
11.7214,11.8281
10.8862,11.8447
12.8246,11.8675
11.7364,11.8883
11.773,11.9097
11.0786,11.9319
12.6366,11.9501
11.3546,11.9679
11.94,11.9891
11.3231,12.0093
12.8918,12.0282
11.1582,12.0538
11.8516,12.0699
12.9212,12.0939
12.9472,12.1164
11.9313,12.1369
11.9174,12.1588
11.53,12.1795
12.06,12.1998
11.6833,12.2186
13.051,12.2397
12.9037,12.2582
11.3121,12.2834
11.371,12.3017
12.7685,12.326
13.0949,12.3413
13.2473,12.3639
12.932,12.3885
11.6057,12.4156
12.1156,12.4434
11.8364,12.4631
11.4907,12.4822
13.0563,12.5116
12.9598,12.5381
12.1957,12.5646
13.0664,12.5843
12.3337,12.6093
12.6051,12.6291
12.9217,12.655
12.4506,12.6837
12.5647,12.709
12.1474,12.7319
11.7998,12.7503
13.6039,12.7749
12.6985,12.7929
13.247,12.8168
12.7695,12.8367
12.0556,12.8563
12.1395,12.8693
13.5534,12.8873
13.2662,12.9082
12.5096,12.9267
12.6079,12.9563
12.0881,12.9799
13.0258,13.0032
12.6075,13.0239
13.7608,13.0454
12.2026,13.0661
12.3752,13.0832
13.6151,13.0991
13.1747,13.1218
13.5509,13.1416
12.3921,13.1647
13.0724,13.191
13.4239,13.2088
14.13,13.2261
13.2447,13.2471
14.2075,13.2692
13.8714,13.2987
13.6489,13.3239
12.8593,13.3497
13.7529,13.3766
13.1674,13.3953
12.6371,13.4163
12.7802,13.4387
13.8397,13.4609
13.5011,13.482
13.5376,13.5055
13.603,13.5268
13.5114,13.5537
13.9624,13.5819
14.3593,13.5939
13.0782,13.6141
13.3034,13.6291
13.0924,13.6574
13.9913,13.6753
14.5869,13.7001
14.6027,13.7257
13.171,13.7428
14.1679,13.7605
14.0373,13.7767
14.1839,13.8004
13.9082,13.8203
14.3461,13.8378
12.9219,13.8611
14.3813,13.8857
13.7199,13.9097
14.2544,13.929
13.4936,13.9461
14.2492,13.9663
14.2708,13.9932
14.8476,14.0105
13.8145,14.0345
13.9105,14.052
14.1373,14.0758
14.4618,14.096
13.5997,14.1226
14.0513,14.1392
14.8311,14.164
13.7291,14.1839
14.4176,14.2084
14.1176,14.2274
14.4016,14.2544
14.863,14.2764
13.3072,14.2937
14.1933,14.3079
13.9482,14.3268
14.3011,14.3449
13.584,14.372
14.4778,14.3941
14.8091,14.4176
14.9192,14.4349
14.9344,14.4521
15.2335,14.4724
13.5615,14.4926
15.2364,14.5115
15.4171,14.5318
15.5364,14.5427
15.2654,14.5628
14.5506,14.5867
14.4225,14.6084
15.4341,14.6315
15.1573,14.6596
15.4922,14.6781
13.7039,14.6997
15.6496,14.7186
14.8283,14.7377
14.9174,14.7544
15.6551,14.7774
15.366,14.7936
15.6449,14.8144
14.6665,14.8355
15.8247,14.8563
14.0444,14.8777
15.2798,14.8902
15.2352,14.9101
14.1923,14.9253
13.9929,14.9482
14.1041,14.9745
15.8024,14.9949
15.3432,15.0095
15.7885,15.0292
15.6721,15.0489
16.0007,15.0738
15.6803,15.0999
15.431,15.116
14.5897,15.1404
15.176,15.1575
14.6263,15.1825
15.877,15.204
14.4276,15.2239
15.9201,15.245
16.0048,15.2601
14.4274,15.2844
14.3638,15.3093
15.2876,15.3303
15.6013,15.3406
16.243,15.3571
15.3357,15.3762
15.762,15.3949
16.1385,15.4159
15.0231,15.435
16.4194,15.4513
15.0785,15.4766
15.4949,15.502
15.3406,15.5226
15.1497,15.5445
15.0725,15.5606
16.246,15.5772
16.54,15.6004
14.7341,15.6154
15.7831,15.6289
14.7781,15.641
16.3163,15.6642
14.9466,15.6834
16.234,15.7058
16.0413,15.7259
15.4935,15.7412
15.6664,15.7578
14.79,15.7797
16.0839,15.7992
15.0678,15.8152
15.021,15.8359
16.4416,15.8562
16.6452,15.875
16.1071,15.8995
16.4691,15.9197
15.0254,15.9347
16.7156,15.9508
16.232,15.9746
15.1934,15.9897
15.6731,16.0031
16.3211,16.0145
16.5121,16.0316
15.8046,16.0501
16.4081,16.0711
15.9396,16.0849
16.3267,16.1032
15.9239,16.1207
16.2203,16.1315
16.687,16.1532
16.5625,16.1738
16.2443,16.197
16.3855,16.212
15.7914,16.2298
15.7121,16.2524
15.5287,16.2713
16.9514,16.2911
16.4781,16.309
16.383,16.3336
16.5131,16.3479
16.353,16.3633
15.3569,16.3755
15.4186,16.3898
16.5544,16.409
17.1432,16.4296
15.4388,16.4456
16.9466,16.463
16.3764,16.4752
16.4615,16.4874
16.4505,16.5103
17.1239,16.5265
16.7568,16.5405
17.2772,16.5524
15.9821,16.568
16.8857,16.5953
15.6618,16.6101
17.2102,16.6264
16.1594,16.6402
16.6074,16.6509
16.7881,16.662
16.3009,16.673
16.0961,16.6976
16.0944,16.7138
16.6803,16.7352
16.2835,16.7492
17.3438,16.7636
17.3192,16.7854
16.216,16.8108
16.4872,16.833
17.2053,16.8507
16.4541,16.8692
17.5803,16.8814
17.303,16.8982
16.2403,16.9171
17.4958,16.9299
17.1784,16.944
17.1989,16.9704
16.6923,16.9856
17.5878,17.0092
17.3931,17.0212
16.5699,17.0415
17.2587,17.0582
18.0446,17.0778
17.6286,17.1043
16.1784,17.1322
16.5585,17.1489
18.0292,17.1628
17.6136,17.179
17.8339,17.1956
16.6941,17.2113
17.0064,17.2261
18.2159,17.2513
17.7286,17.266
16.8983,17.2866
18.2226,17.3109
16.7228,17.3318
16.8604,17.3502
18.227,17.3713
16.5287,17.3913
16.6602,17.4058
16.764,17.4285
17.7165,17.4464
17.1613,17.4705
17.558,17.4868
18.0114,17.5115
17.6587,17.5257
17.9222,17.5409
17.5405,17.5581
18.0659,17.5739
17.2346,17.5952
18.3343,17.6143
17.9668,17.6427
18.1044,17.6652
17.8278,17.68
18.418,17.7011
16.7197,17.7157
17.4692,17.729
18.2502,17.7488
17.2805,17.754
16.9398,17.7617
17.1308,17.7747
17.2419,17.7854
17.6159,17.7929
18.3391,17.7995
17.2041,17.8099
17.264,17.8172
17.5596,17.827
16.9864,17.8349
18.0693,17.845
18.5357,17.8536
18.7547,17.8599
17.4072,17.8669
18.4289,17.8756
17.8238,17.8837
17.9608,17.8952
17.9086,17.9072
17.8894,17.9203
18.4992,17.9257
17.337,17.9338
17.8908,17.9425
17.3702,17.9506
17.7793,17.9596
19.0884,17.9745
17.678,17.9892
18.4292,17.9975
18.8959,18.0025
17.9876,18.0175
17.7075,18.0238
19.129,18.0335
17.652,18.0429
18.2363,18.0524
17.5363,18.058
18.6146,18.0659
19.1597,18.0707
18.6071,18.0835
18.0977,18.0909
17.6819,18.106
17.7833,18.1116
17.6007,18.1238
17.8363,18.1334
19.5813,18.142
19.0749,18.1538
18.3099,18.1671
18.0855,18.1806
18.1142,18.1904
18.5478,18.2029
19.0889,18.2086
18.5301,18.2145
19.3481,18.2279
19.05,18.2397
18.2231,18.2467
19.0327,18.259
19.7896,18.2637
18.2316,18.2704
18.2416,18.2846
19.8832,18.2901
18.2136,18.298
19.3374,18.3059
18.2826,18.3175
18.4892,18.3227
19.2527,18.3295
19.9283,18.3425
19.7341,18.3505
19.9377,18.3528
18.6364,18.3582
18.3811,18.3747
19.4793,18.3886
18.6526,18.3914
18.9101,18.3974
19.0957,18.4018
20.0644,18.4152
19.358,18.4264
19.1873,18.4281
20.3684,18.4338
19.5095,18.4462
18.8261,18.4481
19.2945,18.4623
20.2598,18.4757
19.4362,18.4778
19.2641,18.4943
19.367,18.51
19.6034,18.525
19.5818,18.532
19.8798,18.5441
19.0631,18.5528
19.0854,18.5576
18.9404,18.5657
18.833,18.5716
19.0339,18.581
19.9076,18.5858
20.7571,18.5984
19.5118,18.6009
19.4097,18.607
20.8554,18.6118
19.034,18.6194
19.1197,18.6214
18.9893,18.6402
